2024-08-28 11:11:16 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:11:16 | INFO     | DF | Running on host chenxi
2024-08-28 11:11:16 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:11:16 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:11:16 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:11:17 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:11:17 | INFO     | DF | Running on device cuda:0
2024-08-28 11:11:17 | INFO     | DF | Model loaded
2024-08-28 11:11:32 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:11:32 | INFO     | DF | Running on host chenxi
2024-08-28 11:11:32 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:11:32 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:11:32 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:11:32 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:11:32 | INFO     | DF | Running on device cuda:0
2024-08-28 11:11:32 | INFO     | DF | Model loaded
2024-08-28 11:20:29 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:20:29 | INFO     | DF | Running on host chenxi
2024-08-28 11:20:29 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:20:29 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:20:29 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:20:29 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:20:29 | INFO     | DF | Running on device cuda:0
2024-08-28 11:20:29 | INFO     | DF | Model loaded
2024-08-28 11:20:38 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:20:38 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:20:38 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:20:38 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:20:38 | INFO     | DF | Running on device cuda:0
2024-08-28 11:20:38 | INFO     | DF | Model loaded
2024-08-28 11:22:30 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:22:30 | INFO     | DF | Running on host chenxi
2024-08-28 11:22:30 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:22:30 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:22:30 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:22:30 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:22:30 | INFO     | DF | Running on device cuda:0
2024-08-28 11:22:30 | INFO     | DF | Model loaded
2024-08-28 11:22:32 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:22:32 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:22:32 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:22:32 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:22:32 | INFO     | DF | Running on device cuda:0
2024-08-28 11:22:32 | INFO     | DF | Model loaded
2024-08-28 11:24:41 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:24:41 | INFO     | DF | Running on host chenxi
2024-08-28 11:24:41 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:24:41 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:24:41 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:24:41 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:24:41 | INFO     | DF | Running on device cuda:0
2024-08-28 11:24:41 | INFO     | DF | Model loaded
2024-08-28 11:24:45 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:24:45 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:24:45 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:24:46 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:24:46 | INFO     | DF | Running on device cuda:0
2024-08-28 11:24:46 | INFO     | DF | Model loaded
2024-08-28 11:25:59 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:25:59 | INFO     | DF | Running on host chenxi
2024-08-28 11:25:59 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:25:59 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:25:59 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:25:59 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:25:59 | INFO     | DF | Running on device cuda:0
2024-08-28 11:25:59 | INFO     | DF | Model loaded
2024-08-28 11:26:00 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:26:00 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:26:00 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:26:00 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:26:00 | INFO     | DF | Running on device cuda:0
2024-08-28 11:26:00 | INFO     | DF | Model loaded
2024-08-28 11:27:01 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:27:01 | INFO     | DF | Running on host chenxi
2024-08-28 11:27:01 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:27:01 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:27:01 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:27:02 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:27:02 | INFO     | DF | Running on device cuda:0
2024-08-28 11:27:02 | INFO     | DF | Model loaded
2024-08-28 11:27:03 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:27:03 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:27:03 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:27:03 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:27:03 | INFO     | DF | Running on device cuda:0
2024-08-28 11:27:03 | INFO     | DF | Model loaded
2024-08-28 11:34:32 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:34:32 | INFO     | DF | Running on host chenxi
2024-08-28 11:34:32 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:34:32 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:34:32 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:34:32 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:34:32 | INFO     | DF | Running on device cuda:0
2024-08-28 11:34:32 | INFO     | DF | Model loaded
2024-08-28 11:37:53 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:37:53 | INFO     | DF | Running on host chenxi
2024-08-28 11:37:53 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:37:53 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:37:57 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:37:57 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:38:31 | INFO     | DF | Running on device cuda:0
2024-08-28 11:38:31 | INFO     | DF | Model loaded
2024-08-28 11:39:47 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:39:47 | INFO     | DF | Running on host chenxi
2024-08-28 11:39:47 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:39:47 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:39:47 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:39:47 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:39:47 | INFO     | DF | Running on device cuda:0
2024-08-28 11:39:47 | INFO     | DF | Model loaded
2024-08-28 11:39:47 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:39:47 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:39:47 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:39:47 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:39:47 | INFO     | DF | Running on device cuda:0
2024-08-28 11:39:47 | INFO     | DF | Model loaded
2024-08-28 11:40:54 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:40:54 | INFO     | DF | Running on host chenxi
2024-08-28 11:40:54 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:40:54 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:40:54 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:40:54 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:40:55 | INFO     | DF | Running on device cuda:0
2024-08-28 11:40:55 | INFO     | DF | Model loaded
2024-08-28 11:40:55 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:40:55 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:40:55 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:40:55 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:40:55 | INFO     | DF | Running on device cuda:0
2024-08-28 11:40:55 | INFO     | DF | Model loaded
2024-08-28 11:45:05 | INFO     | DF | Running on torch 2.1.1
2024-08-28 11:45:05 | INFO     | DF | Running on host chenxi
2024-08-28 11:45:06 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:45:06 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:45:06 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:45:06 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:45:06 | INFO     | DF | Running on device cuda:0
2024-08-28 11:45:06 | INFO     | DF | Model loaded
2024-08-28 11:45:06 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 11:45:06 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 11:45:06 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 11:45:06 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 11:45:06 | INFO     | DF | Running on device cuda:0
2024-08-28 11:45:06 | INFO     | DF | Model loaded
2024-08-28 13:05:15 | INFO     | DF | Running on torch 2.1.1
2024-08-28 13:05:15 | INFO     | DF | Running on host chenxi
2024-08-28 13:05:15 | INFO     | DF | Running on torch 2.1.1
2024-08-28 13:05:15 | INFO     | DF | Running on host chenxi
2024-08-28 13:05:15 | INFO     | DF | Running on torch 2.1.1
2024-08-28 13:05:15 | INFO     | DF | Running on host chenxi
2024-08-28 13:05:15 | INFO     | DF | Running on torch 2.1.1
2024-08-28 13:05:15 | INFO     | DF | Running on host chenxi
2024-08-28 13:05:15 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:15 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:15 | INFO     | DF | Loading model settings of DeepFilterNet3
